user_id,username,email,password
1,benja,benja@gmail.com,$2a$05$jccdhhvJ8jOcuKgEnfBSx.mdB4ZYcLtkzHOCtPV6fhlaCioEEi70S
2,mica,mica@gmail,$2a$05$Y6yxgSyW6ax.h6NTa2yBuuMFncHGTopVkMiQV89tH/DQexAJbv1CG
3,julio,julio@gmail.com,$2a$05$9gpAmD7glcaWgefi1hTX/Oxs769iXVXijDEAEAa3Y3BhtSQRqsw5K
4,flor,flor@gmail.com,$2a$05$/7peqE5Y0aGFjQ7KAsUgVeSK52J3YKuYSx50qQ.5e3DMH5J6Z340y
5,joa,joa@gmail.com,$2a$05$RowurR9Ga7vtAigvC.vKgOGQoJ.Eam7Ccpq.dP1pr5KsCXZxBKVVy
6,,,$2a$05$L9067/qsbjHJ1YmZxnouUeZImmTFr2v0DW8OFpSYWk6hJQwzobhJe
7,paula,pau@gmail.com,$2a$05$dQActlkxOjNNTv6Lk4yCwObmrpzj5xQ6yBAweZLi6zLI3HUUtH55G
8,noe,noe@gmail.com,$2a$05$WAfJyGdIwIUFxEhfkIqWtOIpsyMyuXQR2iSzRWfpRr3xM2yQl2x/G
9,alan,alan@gmail.com,$2a$05$wuGJCUYni1/HVdcDz5ordOXAzl8A6B4WhW54q4Iqu9h8co0SkG7qe
10,nora,nora@gmail.com,$2a$05$OKYhNCGwkehQepSxRpYb6.HSdUqzhoNsxJZPXtBlWr2bRWOB67HbS
11,uma,uma@gmail.com,$2a$05$TVkFqRSBreytFBK2YhZQAuFwHV9rw9z2wLN3GcgPo8JtrMi5PMwzi
12,juan,juan@gmail.com,$2a$05$JxSM33Il4ksn/TPWVIm53OjaeYQHaaYVZ4oniZukoz.ENrvw0LOQm
